Full Text,Author,Creation Time,Hashtags,text,is_road_closure
!! #woolseyfire closure !! road closed due to the woolsey fire. in #PointMugu on Pacific Coast Hwy SB before Mulh... http://bit.ly/10F395r,TotalTrafficLA,Tue Nov 20 18:39:40 +0000 2018,#woolseyfire #PointMugu,#woolseyfire closure road closed due to the woolsey fire in #pointmugu on pacific coast hwy sb before mulh http bit ly 10f395r,1
Post #californiafires the calm before the storm #California #lelalelolife #malibufire #woosleyfire @Malibu Creek State Park https://www.instagram.com/p/BqY72gSDiLoUJNCN-X6LJgZhSz7jKQPmdBNjGc0/?utm_source=ig_twitter_share&igshid=jixvktsoi562 …,Lela_snowboardz,Tue Nov 20 04:59:43 +0000 2018,#californiafires #California #lelalelolife #malibufire #woosleyfire,post #californiafires the calm before the storm #california #lelalelolife #malibufire #woosleyfire creek state park http www instagram com p bqy72gsdiloujncn x6ljgzhsz7jkqpmdbnjgc0 utm source ig twitter share igshid jixvktsoi562,0
!! #woolseyfire closure !! road closed due to the woolsey fire. in #PointMagu on Pacific Coast Hwy SB before Las Posas Rd to Heathercliff Rd,TotalTrafficLA,Mon Nov 19 23:02:09 +0000 2018,#woolseyfire #PointMagu,#woolseyfire closure road closed due to the woolsey fire in #pointmagu on pacific coast hwy sb before la posas rd to heathercliff rd,1
"We have an incredible roster of musicians helping us raise money to support victims of the Woolsey Fire at Monday Monday tonight. Come support! Please note tickets will be $10 tonight, and… https://www.instagram.com/p/BqYE3Lqn8YT/?utm_source=ig_twitter_share&igshid=yf74rqlozaa7 …",thehotelcafe,Mon Nov 19 20:59:11 +0000 2018,,we have an incredible roster of musician helping u raise money to support victim of the woolsey fire at monday monday tonight come support please note ticket will be 10 tonight and http www instagram com p bqye3lqn8yt utm source ig twitter share igshid yf74rqlozaa7,0
Your #ComptonFireFighters assisted @lacofireairops in air hoisting an injured Firefighter (with a non-life threatening injury) out of a drainage during the Woosley Fire. #BrushFire… https://www.instagram.com/p/BqV-SE6FVzf/?utm_source=ig_twitter_share&igshid=p91w03vfnir1 …,ComptonFF,Mon Nov 19 17:27:05 +0000 2018,#ComptonFireFighters #BrushFire,your #comptonfirefighters assisted in air hoisting an injured firefighter with a non life threatening injury out of a drainage during the woosley fire #brushfire http www instagram com p bqv se6fvzf utm source ig twitter share igshid p91w03vfnir1,0
!! #woolseyfire closure !! road closed due to the woolsey fire. in #PointMagu on Pacific Coast Hwy SB before Las Posas Rd to Cross Crk Rd,TotalTrafficLA,Mon Nov 19 01:40:01 +0000 2018,#woolseyfire #PointMagu,#woolseyfire closure road closed due to the woolsey fire in #pointmagu on pacific coast hwy sb before la posas rd to cross crk rd,1
This video is from point dume before the woolsey fire go ahead and check it out on YouTube. Make sure you leave a like and subscribe if you are new. #pointdume #woolseyfire… https://www.instagram.com/p/BqV_bghnQpY/?utm_source=ig_twitter_share&igshid=1qtgo3xqj75i2 …,dronatic209,Mon Nov 19 01:36:52 +0000 2018,#pointdume #woolseyfire,this video is from point dume before the woolsey fire go ahead and check it out on youtube make sure you leave a like and subscribe if you are new #pointdume #woolseyfire http www instagram com p bqv bghnqpy utm source ig twitter share igshid 1qtgo3xqj75i2,0
Woolsey Fire survivors... #WoolseyFire #deer #survivors #imbroimages #nikon #abc7eyewitness #nbcla #ktla #losangelesgrammers #caligammers #calabasas #calabasasfire #strapsbyelroobs… https://www.instagram.com/p/BqV7inlh3SN/?utm_source=ig_twitter_share&igshid=ixip5zh0q16u …,merch313_,Mon Nov 19 00:59:14 +0000 2018,#WoolseyFire #deer #survivors #imbroimages #nikon #abc7eyewitness #nbcla #ktla #losangelesgrammers #caligammers #calabasas #calabasasfire #strapsbyelroobs,woolsey fire survivor #woolseyfire #deer #survivors #imbroimages #nikon #abc7eyewitness #nbcla #ktla #losangelesgrammers #caligammers #calabasas #calabasasfire #strapsbyelroobs http www instagram com p bqv7inlh3sn utm source ig twitter share igshid ixip5zh0q16u,0
Prayers and good vibes to all that are effected by the devastation in the Woolsey Fire. These pics taken around Oak Park... #WoolseyFire #devastation #losthomes #imbroimages #nikon… https://www.instagram.com/p/BqV6mMOBjvS/?utm_source=ig_twitter_share&igshid=fslm4u5l5qzc …,merch313_,Mon Nov 19 00:51:12 +0000 2018,#WoolseyFire #devastation #losthomes #imbroimages #nikon,prayer and good vibe to all that are effected by the devastation in the woolsey fire these pic taken around oak park #woolseyfire #devastation #losthomes #imbroimages #nikon http www instagram com p bqv6mmobjvs utm source ig twitter share igshid fslm4u5l5qzc,0
"This seafood was bomb, would smash again. Also, prayers up for everyone in the Woolsey Fire (in Malibu and Thousand Oaks area) rn. @Malibu Seafood Fresh Fish Market & Patio Cafe https://www.instagram.com/p/BqVPmPuAtom/?utm_source=ig_twitter_share&igshid=h3n8y2iyiie1 …",TheKiddJesus,Sun Nov 18 18:35:16 +0000 2018,,this seafood wa bomb would smash again also prayer up for everyone in the woolsey fire in malibu and thousand oak area rn seafood fresh fish market patio cafe http www instagram com p bqvpmpuatom utm source ig twitter share igshid h3n8y2iyiie1,0
"Thank you dallasfirerescue for coming together in bravery and integrity #firefighters #heroes #woosleyfire #togetherwestand #onelove #malibustrong @Malibu, California https://www.instagram.com/p/BqVM4mugbjZ/?utm_source=ig_twitter_share&igshid=8pr33qsu9dwe …",KristineSzabo,Sun Nov 18 18:11:36 +0000 2018,#firefighters #heroes #woosleyfire #togetherwestand #onelove #malibustrong,thank you dallasfirerescue for coming together in bravery and integrity #firefighters #heroes #woosleyfire #togetherwestand #onelove #malibustrong california http www instagram com p bqvm4mugbjz utm source ig twitter share igshid 8pr33qsu9dwe,0
Praying for my #la fam & anyone that was effected by the #woosleyfire #california . . . #djgeez #philly #realdjs #clubking #hiphop #rap #music #lit #nyc #la #houston #miami #dallas… https://www.instagram.com/p/BqU6CqvHus8/?utm_source=ig_twitter_share&igshid=ie94ajmmcdt1 …,djgeez215,Sun Nov 18 15:26:56 +0000 2018,#la #woosleyfire #california #djgeez #philly #realdjs #clubking #hiphop #rap #music #lit #nyc #la #houston #miami #dallas,praying for my #la fam anyone that wa effected by the #woosleyfire #california #djgeez #philly #realdjs #clubking #hiphop #rap #music #lit #nyc #la #houston #miami #dallas http www instagram com p bqu6cqvhus8 utm source ig twitter share igshid ie94ajmmcdt1,0
LEASED !!! One woolsey fire victim Blessed! Such a great feeling to help one of the lovely families who were affected by the Woolsey fire. Our house was vacant and furnished. I have… https://www.instagram.com/p/BqT_oKEnC5F/?utm_source=ig_twitter_share&igshid=1c6msu9k9kxhn …,John12110879,Sun Nov 18 06:56:30 +0000 2018,,leased one woolsey fire victim blessed such a great feeling to help one of the lovely family who were affected by the woolsey fire our house wa vacant and furnished i have http www instagram com p bqt okenc5f utm source ig twitter share igshid 1c6msu9k9kxhn,0
!! #woolseyfire closure !! road closed due to the woolsey fire. in #PointMagu on Pacific Coast Hwy SB before Las Posas Rd to Malibu Cyn Rd,TotalTrafficLA,Sun Nov 18 03:23:58 +0000 2018,#woolseyfire #PointMagu,#woolseyfire closure road closed due to the woolsey fire in #pointmagu on pacific coast hwy sb before la posas rd to malibu cyn rd,1
"Please join me Hunter Payton, ambassador for @shoecrew2012 and the founder @justintinucci as we team up to help raise funds for the victims of the WOOLSEY FIRE which hit close to my home… https://www.instagram.com/p/BqOMwvzg6q7/?utm_source=ig_twitter_share&igshid=ufe4umlclxxn …",TheHunterPayton,Fri Nov 16 23:54:37 +0000 2018,,please join me hunter payton ambassador for and the founder a we team up to help raise fund for the victim of the woolsey fire which hit close to my home http www instagram com p bqomwvzg6q7 utm source ig twitter share igshid ufe4umlclxxn,0
"One of goals of Arrogant Observer is to capture places before they change. While we worry most about gentrification, the Woolsey fire reminded us that change can come in other ways. On… https://www.instagram.com/p/BqQZgBZAJQG/?utm_source=ig_twitter_share&igshid=193p8ki5s45co …",rolandoemora,Fri Nov 16 21:57:00 +0000 2018,,one of goal of arrogant observer is to capture place before they change while we worry most about gentrification the woolsey fire reminded u that change can come in other way on http www instagram com p bqqzgbzajqg utm source ig twitter share igshid 193p8ki5s45co,0
"Returning home to my neighborhood, I am so impressed our community and our courage, strength and commitment to our beloved Home #MalibuStrong #malibu #woosleyfire #community @Malibu,… https://www.instagram.com/p/BqQYMsdgBFr/?utm_source=ig_twitter_share&igshid=xidktteh126k …",KristineSzabo,Fri Nov 16 21:15:06 +0000 2018,#MalibuStrong #malibu #woosleyfire #community,returning home to my neighborhood i am so impressed our community and our courage strength and commitment to our beloved home #malibustrong #malibu #woosleyfire #community http www instagram com p bqqymsdgbfr utm source ig twitter share igshid xidktteh126k,0
"This is pretty cool, the homie @stonerokk created a webpage to register, to report, and how to foster lost and displaced animals due to the Woolsey fire in SoCal. If you feel compelled to… https://www.instagram.com/p/BqQRrYQF1XR/?utm_source=ig_twitter_share&igshid=9ytez902zn3 …",akepeleapparel,Fri Nov 16 20:17:19 +0000 2018,,this is pretty cool the homie created a webpage to register to report and how to foster lost and displaced animal due to the woolsey fire in socal if you feel compelled to http www instagram com p bqqrryqf1xr utm source ig twitter share igshid 9ytez902zn3,0
LA-friends!!! Please come out to support the relief effort for those affected by the Woolsey fire in Malibu! Anything will help! I’ll be there on the early side... Hoping to see as… https://www.instagram.com/p/BqQRFd3h2kZ/?utm_source=ig_twitter_share&igshid=wf9ccm6j9lz7 …,HallKristina,Fri Nov 16 20:12:07 +0000 2018,,la friend please come out to support the relief effort for those affected by the woolsey fire in malibu anything will help i ll be there on the early side hoping to see a http www instagram com p bqqrfd3h2kz utm source ig twitter share igshid wf9ccm6j9lz7,0
"Tonight, Singles Going Steady returns @GoldDiggersLAX with A Rock & Roll Rain Dance Party benefitting victims of the Woolsey Fire. FREE w/ RSVP. We’re accepting donations at the door… https://www.instagram.com/p/BqQCSqHBtr5/?utm_source=ig_twitter_share&igshid=qgj319wkjk30 …",PLEASUREPMUSIC,Fri Nov 16 18:03:03 +0000 2018,,tonight single going steady return with a rock roll rain dance party benefitting victim of the woolsey fire free w rsvp we re accepting donation at the door http www instagram com p bqqcsqhbtr5 utm source ig twitter share igshid qgj319wkjk30,0
"The #woosleyfire has been destructive for many of my closest friends. It has affected many of us, as well as animals and birds. Nests have been burnt along with many new borns. #owls… https://www.instagram.com/p/BqQBuiwgE9H/?utm_source=ig_twitter_share&igshid=1txpzz06fmhu8 …",rssaha,Fri Nov 16 17:57:52 +0000 2018,#woosleyfire #owls,the #woosleyfire ha been destructive for many of my closest friend it ha affected many of u a well a animal and bird nest have been burnt along with many new born #owls http www instagram com p bqqbuiwge9h utm source ig twitter share igshid 1txpzz06fmhu8,0
"Our hearts go out to those working to recover from the Woolsey Fire & to our furry friends who have been evacuated & are in need of sanctuary. Today (Friday), Saturday & Sunday we will be… https://www.instagram.com/p/BqQBn0whLEw/?utm_source=ig_twitter_share&igshid=yd7r0uky25k8 …",SpringStBarLA,Fri Nov 16 17:56:57 +0000 2018,,our heart go out to those working to recover from the woolsey fire to our furry friend who have been evacuated are in need of sanctuary today friday saturday sunday we will be http www instagram com p bqqbn0whlew utm source ig twitter share igshid yd7r0uky25k8,0
"Our hearts go out to those working to recover from the Woolsey Fire & to our furry friends who have been evacuated & are in need of sanctuary. This Friday, Saturday & Sunday we will be… https://www.instagram.com/p/BqP-RDoBd2q/?utm_source=ig_twitter_share&igshid=1opdmsjcqgxw9 …",CornerCantinaLA,Fri Nov 16 17:27:46 +0000 2018,,our heart go out to those working to recover from the woolsey fire to our furry friend who have been evacuated are in need of sanctuary this friday saturday sunday we will be http www instagram com p bqp rdobd2q utm source ig twitter share igshid 1opdmsjcqgxw9,0
"Our hearts go out to those working to recover from the Woolsey Fire & to our furry friends who have been evacuated & are in need of sanctuary. This Friday, Saturday & Sunday we will be… https://www.instagram.com/p/BqOnOqchfXI/?utm_source=ig_twitter_share&igshid=byhgk1nisbtl …",BeelmansLA,Fri Nov 16 04:47:20 +0000 2018,,our heart go out to those working to recover from the woolsey fire to our furry friend who have been evacuated are in need of sanctuary this friday saturday sunday we will be http www instagram com p bqonoqchfxi utm source ig twitter share igshid byhgk1nisbtl,0
I went out #running in the #mountains which were hit by the #woosleyfire I heard that #animals are out still wondering. I was in search of finding any lost fur babies. I read… https://www.instagram.com/ultrashannon/p/BqOZiWsh9WG/?utm_source=ig_twitter_share&igshid=1n2hqojkw4e62 …,Run100milesMom,Fri Nov 16 02:47:29 +0000 2018,#running #mountains #woosleyfire #animals,i went out #running in the #mountains which were hit by the #woosleyfire i heard that #animals are out still wondering i wa in search of finding any lost fur baby i read http www instagram com ultrashannon p bqoziwsh9wg utm source ig twitter share igshid 1n2hqojkw4e62,0
"Such a clear day in Hollywood , let us pray for the victims of the Woolsey Fire . #wildfire #climatechange #people #usa #compassion @Hollywood https://www.instagram.com/p/BqN6F_ilFHF/?utm_source=ig_twitter_share&igshid=b3dkeaxo4ff7 …",CurtisSabir,Thu Nov 15 22:17:15 +0000 2018,#wildfire #climatechange #people #usa #compassion,such a clear day in hollywood let u pray for the victim of the woolsey fire #wildfire #climatechange #people #usa #compassion http www instagram com p bqn6f ilfhf utm source ig twitter share igshid b3dkeaxo4ff7,0
"I forgot to share this on Tuesday night. As we were leaving LAX, smoke (and flames) from the Woolsey Fire could be seen in the distance. How sad that this happens so much. @Malibu,… https://www.instagram.com/p/BqN2ZPxgcMe/?utm_source=ig_twitter_share&igshid=5fjmu0xq60x1 …",j_calderon,Thu Nov 15 21:40:20 +0000 2018,,i forgot to share this on tuesday night a we were leaving lax smoke and flame from the woolsey fire could be seen in the distance how sad that this happens so much http www instagram com p bqn2zpxgcme utm source ig twitter share igshid 5fjmu0xq60x1,0
"This next Monday, Nov 19th 2018, Joel has put together a fundraising event to help victims of the Woolsey Fire. Many people from the community have lost their homes and this is an effort… https://www.instagram.com/p/BqNrXL3hC-A/?utm_source=ig_twitter_share&igshid=l168dfb0wr2f …",mikevitalemusic,Thu Nov 15 20:03:57 +0000 2018,,this next monday nov 19th 2018 joel ha put together a fundraising event to help victim of the woolsey fire many people from the community have lost their home and this is an effort http www instagram com p bqnrxl3hc a utm source ig twitter share igshid l168dfb0wr2f,0
days up at the Woolsey Fire ... pretty cool to see fire departments from as far as Texas helping us out! Crazy to see what was once green is completely gone… https://www.instagram.com/p/BqMFS1Alj2mXiQ23gBubjPidHxBHwFS-Ve7yKE0/?utm_source=ig_twitter_share&igshid=13exsvvxfmmvd …,MikeGalosic,Thu Nov 15 05:12:02 +0000 2018,,day up at the woolsey fire pretty cool to see fire department from a far a texas helping u out crazy to see what wa once green is completely gone http www instagram com p bqmfs1alj2mxiq23gbubjpidhxbhwfs ve7yke0 utm source ig twitter share igshid 13exsvvxfmmvd,0
